District Id,Time Id,Dose 1,Dose 2
MP_Raisen,Overall,585348,88542
MP_Rajgarh,Overall,729550,113868
MP_Ratlam,Overall,675430,130948
MP_Rewa,Overall,907140,179275
MP_Sagar,Overall,1103150,246079
MP_Satna,Overall,782381,159972
MP_Sehore,Overall,733675,143947
MP_Seoni,Overall,595894,105150
MP_Shahdol,Overall,532536,84666
MP_Shajapur,Overall,453888,83310
MP_Sheopur,Overall,207583,30261
MP_Shivpuri,Overall,626026,86938
MP_Sidhi,Overall,420391,51615
MP_Singrauli,Overall,435930,63863
MP_Tikamgarh,Overall,594276,103780
MP_Ujjain,Overall,1156431,286853
MP_Umaria,Overall,267856,37346
MP_Vidisha,Overall,621085,111030
MZ_Aizawl,Overall,181077,64617
MZ_Aizawl,Overall,181077,64617
MZ_Champhai,Overall,70891,25692
MZ_Kolasib,Overall,45496,15522
MZ_Lawngtlai,Overall,40940,11199
MZ_Lunglei,Overall,87623,31827
MZ_Mamit,Overall,42030,13125
MZ_Saiha,Overall,33242,8609
MZ_Serchhip,Overall,40743,15330
NL_Dimapur,Overall,234556,53052
NL_Kiphire,Overall,12351,3907
NL_Kohima,Overall,98118,27624
NL_Longleng,Overall,19936,7055
NL_Mokokchung,Overall,65696,23328
NL_Mon,Overall,65628,19996
NL_Peren,Overall,17857,6379
NL_Phek,Overall,29461,10289
NL_Tuensang,Overall,34839,10685
NL_Wokha,Overall,33013,13086
NL_Zunheboto,Overall,36119,8412
OR_Angul,Overall,400410,88645
OR_Balangir,Overall,571209,95131
OR_Balasore,Overall,725318,272857
OR_Bargarh,Overall,445724,117176
OR_Bhadrak,Overall,573241,129431
OR_Boudh,Overall,150510,29809
OR_Cuttack,Overall,959688,307121
OR_Deogarh,Overall,133154,24345
OR_Dhenkanal,Overall,433553,95482
OR_Gajapati,Overall,212977,46354
OR_Ganjam,Overall,1539421,671227
OR_Jagatsinghpur,Overall,345522,121683
OR_Jajpur,Overall,577065,155425
OR_Jharsuguda,Overall,274893,64220
OR_Kalahandi,Overall,501756,130224
OR_Kandhamal,Overall,245596,59658
OR_Kendrapara,Overall,520062,139880
OR_Kendujhar,Overall,603620,128225
OR_Khordha,Overall,1534144,1047193
OR_Koraput,Overall,571525,140590
OR_Malkangiri,Overall,196323,38692
OR_Mayurbhanj,Overall,686878,166320
OR_Nabarangapur,Overall,384103,70882
OR_Nayagarh,Overall,346831,87418
OR_Nuapada,Overall,298415,45640
OR_Puri,Overall,687105,171924
OR_Rayagada,Overall,374115,73847
OR_Sambalpur,Overall,556983,132219
OR_Subarnapur,Overall,257654,52744
OR_Sundargarh,Overall,730437,196211
PB_Amritsar,Overall,683569,212408
PB_Barnala,Overall,165032,44244
PB_Bathinda,Overall,332132,99537
PB_Faridkot,Overall,192944,64086
PB_Fatehgarh Sahib,Overall,214925,49007
PB_Fazilka,Overall,225048,54611
PB_Ferozepur,Overall,216899,54463
PB_Gurdaspur,Overall,584398,218579
PB_Hoshiarpur,Overall,778865,267392
PB_Jalandhar,Overall,914940,331437
PB_Kapurthala,Overall,262644,87660
PB_Ludhiana,Overall,1334996,443684
PB_Mansa,Overall,162418,39049
PB_Moga,Overall,272981,65346
PB_Pathankot,Overall,303550,101879
PB_Patiala,Overall,620162,187604
PB_Rupnagar,Overall,251868,61404
PB_S.A.S. Nagar,Overall,674670,220433
PB_Sangrur,Overall,344803,94091
PB_Shahid Bhagat Singh Nagar,Overall,238171,79763
PB_Sri Muktsar Sahib,Overall,281802,61793
PB_Tarn Taran,Overall,293672,69526
PY_Karaikal,Overall,97835,20702
PY_Mahe,Overall,31564,13955
PY_Puducherry,Overall,470534,128429
PY_Yanam,Overall,27153,5662
RJ_Ajmer,Overall,1332599,453075
RJ_Alwar,Overall,1556633,555489
RJ_Banswara,Overall,764212,211122
RJ_Baran,Overall,505156,133825
RJ_Barmer,Overall,1052998,311298
RJ_Bharatpur,Overall,999404,261361
RJ_Bhilwara,Overall,1014684,299818
RJ_Bikaner,Overall,1071247,395903
RJ_Bundi,Overall,515260,173412
RJ_Chittorgarh,Overall,699068,202070
RJ_Churu,Overall,843930,251749
RJ_Dausa,Overall,705063,150721
RJ_Dholpur,Overall,511685,137808
RJ_Dungarpur,Overall,564034,148320
RJ_Ganganagar,Overall,816396,285465
RJ_Hanumangarh,Overall,789336,248756
RJ_Jaipur,Overall,1820185,650546
RJ_Jaipur,Overall,1820185,650546
RJ_Jaisalmer,Overall,290570,83481
RJ_Jalore,Overall,736844,181464
RJ_Jhalawar,Overall,679912,159285
RJ_Jhunjhunu,Overall,1078582,384704
RJ_Jodhpur,Overall,1596693,577325
RJ_Karauli,Overall,611235,157689
RJ_Kota,Overall,981225,360514
RJ_Nagaur,Overall,1431081,579350
RJ_Pali,Overall,877809,281893
RJ_Pratapgarh,Overall,414694,91612
RJ_Rajsamand,Overall,502339,124702
RJ_Sawai Madhopur,Overall,570922,154968
RJ_Sikar,Overall,1335225,481518
RJ_Sirohi,Overall,447615,152514
RJ_Tonk,Overall,650231,180810
RJ_Udaipur,Overall,1239263,390917
SK_East Sikkim,Overall,254220,85715
SK_North Sikkim,Overall,31920,9792
SK_South Sikkim,Overall,117572,37178
SK_West Sikkim,Overall,100351,32413
TG_Adilabad,Overall,109566,35311
TG_Bhadradri Kothagudem,Overall,284858,82645
TG_Hyderabad,Overall,2641877,945774
TG_Jagtial,Overall,233587,97043
TG_Jangaon,Overall,111265,44268
TG_Jayashankar Bhupalapally,Overall,145715,45952
TG_Jogulamba Gadwal,Overall,82852,26945
TG_Kamareddy,Overall,248776,98094
TG_Karimnagar,Overall,417613,172877
TG_Khammam,Overall,462043,108587
TG_Komaram Bheem,Overall,73488,23564
TG_Mahabubabad,Overall,192949,67601
TG_Mahabubnagar,Overall,170291,65435
TG_Mancherial,Overall,217938,66352
